zeile,farm,lom,gebdat,alter,rasse,datum,kw,lnr,kaldat,kalver,ltg,apltg,tratag,trodat,trltg,fts,ftsnel,ftsme,eb_nel,eb_me,h2o,gew,bcs,rfd,mkg,fpro,epro,feq,lakt,bhb,glukose,nefa,insulin,igf1,adiponektin,ca,nsba,eu,kl,fr,st,at,vo,pa,so,gesundheit,abgdat,abggrund,gebdat_date,datum_date,kaldat_date,trodat_date,abgdat_date,health_status,episode_id
1,3,DE000113973296,38088,4057,1,42145,201521,8,41792.0,1.0,353.0,-177.0,108.0,,,,,,,,,,,21.3,23.04,,,,,,,,,,,,,,,,,,,,,Produktionserkrankung/SonstigeErkrankung,,,2004-04-11,2015-05-21,2014-06-02,,,Production + other disease,DE000113973296_LN8_CALV41792.0
2,3,DE000113973296,38088,4058,1,42146,201521,8,41792.0,1.0,354.0,-176.0,109.0,,,19.49,136.13,222.19,,,,816.0,,,25.5,,,,,,,,,,,,,,,,,,,,,Produktionserkrankung/SonstigeErkrankung,,,2004-04-11,2015-05-22,2014-06-02,,,Production + other disease,DE000113973296_LN8_CALV41792.0
3,3,DE000113973296,38088,4059,1,42147,201521,8,41792.0,1.0,355.0,-175.0,110.0,,,21.85,152.36,248.67,,,,840.0,,,23.72,,,,,,,,,,,,,,,,,,,,,Produktionserkrankung/SonstigeErkrankung,,,2004-04-11,2015-05-23,2014-06-02,,,Production + other disease,DE000113973296_LN8_CALV41792.0
4,3,DE000113973296,38088,4060,1,42148,201521,8,41792.0,1.0,356.0,-174.0,111.0,,,18.37,128.28,209.36,,,,844.0,,,24.72,,,,,,,,,,,,,,,,,,,,,Produktionserkrankung/SonstigeErkrankung,,,2004-04-11,2015-05-24,2014-06-02,,,Production + other disease,DE000113973296_LN8_CALV41792.0
5,3,DE000113973296,38088,4061,1,42149,201522,8,41792.0,1.0,357.0,-173.0,112.0,,,19.05,131.9,215.29,,,,840.0,,,25.91,4.43,3.64,1.22,4.33,,,,,,,,,,,,,,,,,Produktionserkrankung/SonstigeErkrankung,,,2004-04-11,2015-05-25,2014-06-02,,,Production + other disease,DE000113973296_LN8_CALV41792.0
6,3,DE000113973296,38088,4062,1,42150,201522,8,41792.0,1.0,358.0,-172.0,113.0,,,28.24,196.47,320.68,,,,856.0,,,23.68,,,,,,,,,,,,,,,,,,,,,Produktionserkrankung/SonstigeErkrankung,,,2004-04-11,2015-05-26,2014-06-02,,,Production + other disease,DE000113973296_LN8_CALV41792.0
7,3,DE000113973296,38088,4063,1,42151,201522,8,41792.0,1.0,359.0,-171.0,114.0,,,23.28,162.27,264.85,,,,,,,24.24,,,,,,,,,,,,,,,,,,,,,Produktionserkrankung/SonstigeErkrankung,,,2004-04-11,2015-05-27,2014-06-02,,,Production + other disease,DE000113973296_LN8_CALV41792.0
8,3,DE000113973296,38088,4064,1,42152,201522,8,41792.0,1.0,360.0,-170.0,115.0,,,21.67,150.7,245.97,,,,,,,25.49,,,,,,,,,,,,,,,,,,,,,Produktionserkrankung/SonstigeErkrankung,,,2004-04-11,2015-05-28,2014-06-02,,,Production + other disease,DE000113973296_LN8_CALV41792.0
9,3,DE000113973296,38088,4065,1,42153,201522,8,41792.0,1.0,361.0,-169.0,116.0,,,16.53,115.65,188.75,,,,806.0,,,23.14,,,,,,,,,,,,,,,,,,,,,Produktionserkrankung/SonstigeErkrankung,,,2004-04-11,2015-05-29,2014-06-02,,,Production + other disease,DE000113973296_LN8_CALV41792.0
10,3,DE000113973296,38088,4066,1,42154,201522,8,41792.0,1.0,362.0,-168.0,117.0,,,20.95,145.99,238.29,,,,786.0,,,24.36,,,,,,,,,,,,,,,,,,,,,Produktionserkrankung/SonstigeErkrankung,,,2004-04-11,2015-05-30,2014-06-02,,,Production + other disease,DE000113973296_LN8_CALV41792.0
11,3,DE000113973296,38088,4067,1,42155,201522,8,41792.0,1.0,363.0,-167.0,118.0,,,16.76,117.05,191.04,14.92,14.43,,770.0,,,23.83,,,,,,,,,,,,,,,,,,,,,Produktionserkrankung/SonstigeErkrankung,,,2004-04-11,2015-05-31,2014-06-02,,,Production + other disease,DE000113973296_LN8_CALV41792.0
12,3,DE000113973296,38088,4068,1,42156,201523,8,41792.0,1.0,364.0,-166.0,119.0,,,18.25,127.45,208.02,,,,821.0,,,24.73,4.17,3.61,1.16,4.38,,,,,,,,,,,,,,,,,Produktionserkrankung/SonstigeErkrankung,,,2004-04-11,2015-06-01,2014-06-02,,,Production + other disease,DE000113973296_LN8_CALV41792.0
13,3,DE000113973296,38088,4069,1,42157,201523,8,41792.0,1.0,365.0,-165.0,120.0,,,16.06,112.3,183.28,,,,807.5,,,25.71,,,,,,,,,,,,,,,,,,,,,Produktionserkrankung/SonstigeErkrankung,,,2004-04-11,2015-06-02,2014-06-02,,,Production + other disease,DE000113973296_LN8_CALV41792.0
14,3,DE000113973296,38088,4070,1,42158,201523,8,41792.0,1.0,366.0,-164.0,121.0,,,20.54,143.31,233.91,,,,862.0,,,25.43,,,,,,,,,,,,,,,,,,,,,Produktionserkrankung/SonstigeErkrankung,,,2004-04-11,2015-06-03,2014-06-02,,,Production + other disease,DE000113973296_LN8_CALV41792.0
